Wavelength,Species,Transition,A-coeff. (/s),E_u (K),Comments,Ref
3.00022,OH,"v=1,J=9/2,p=+,F=F1->v=0,J=11/2,p=-,F=F1",13.45,5982.3,,OTHERS
3.00386809,H2,"v= 1,J= 2->v= 0,J= 4",2.895e-07,6471.4,,MEUDON
3.00402,N I,4P-4Po   3/2 - 3/2,528400.0,153943.2,,HII
3.007768614,H2,"v=13,J= 4->v=10,J= 6",1.739e-07,51283.0,,MEUDON
3.007901,OH,"v=1,J=11/2,p=-,F=F2->v=0,J=13/2,p=+,F=F2",13.11,5887.5,,OTHERS
3.008444,OH,"v=1,J=11/2,p=+,F=F2->v=0,J=13/2,p=-,F=F2",13.1,5889.2,,OTHERS
3.01812,N I,4P-4Po   3/2 - 1/2,3257000.0,153920.7,,HII
3.018168131,H2,"v= 4,J= 7->v= 3,J= 7",3.91e-07,25622.8,,MEUDON
3.018382047,H2,"v= 8,J= 7->v= 7,J= 5",1.604e-09,41354.9,,MEUDON
3.02884,N I,4P-4Po   5/2 - 5/2,2707000.0,154002.2,,HII
3.029817646,H2,"v= 2,J=15->v= 1,J=15",3.432e-07,27265.0,,MEUDON
3.030459283,H2,"v= 8,J=16->v= 7,J=14",8.453e-07,49560.0,,MEUDON
3.030853837,H2,"v= 7,J= 4->v= 6,J= 2",1.122e-07,36050.6,,MEUDON
3.0337942328,3     He I,3D-1Fo     3 - 3,3260.0,283745.7,Mult  2,CLOUDY
3.0337948229,3     He I,3D-1Fo     2 - 3,25000.0,283745.7,Mult  2,CLOUDY
3.0348425645,0     He I,1D-1Fo     2 - 3,104000.0,283745.7,,CLOUDY
3.035888466,H2,"v= 7,J=11->v= 5,J=13",8.456e-08,41557.7,,MEUDON
3.0373877193,58    He I,3Fo-1G      3 - 4,3590.0,283745.8,,CLOUDY
3.0373879158,41    He I,3Fo-3G      3 - 3,7530.0,283745.8,Mult  2,CLOUDY
3.0373885248,52    He I,3Fo-3G      3 - 4,125000.0,283745.8,Mult  2,CLOUDY
3.0378311697,80    He I,3G-3Ho     4 - 4,2060.0,283745.8,Mult  2,CLOUDY
3.0378315668,30    He I,3G-3Ho     4 - 5,79700.0,283745.8,Mult  2,CLOUDY
3.0378335855,61    He I,3G-1Ho     5 - 5,1580.0,283745.8,,CLOUDY
3.038841499,H2,"v= 1,J=18->v= 0,J=18",2.156e-07,28193.6,,MEUDON
3.0392022,H I,5-10,38000.0,156225.1,,CLOUDY
3.041477,OH,"v=1,J=11/2,p=+,F=F1->v=0,J=13/2,p=-,F=F1",14.11,6281.3,,OTHERS
3.041845,OH,"v=1,J=11/2,p=-,F=F1->v=0,J=13/2,p=+,F=F1",14.1,6281.6,,OTHERS
3.043536,N I,4Po-4P    5/2 - 3/2,721800.0,158729.6,,HII
3.04392,[Fe III],3F4-3G      2 - 3,0.018,36173.7,,HII
3.04809,OH,"v=1,J=13/2,p=+,F=F2->v=0,J=15/2,p=-,F=F2",13.86,6197.5,,OTHERS
3.048748,OH,"v=1,J=13/2,p=-,F=F2->v=0,J=15/2,p=+,F=F2",13.86,6199.9,,OTHERS
3.049182904,H2,"v= 3,J=12->v= 2,J=12",3.963e-07,27073.1,,MEUDON
3.049527019,H2,"v=12,J= 8->v=10,J= 6",1.909e-08,51217.5,,MEUDON
3.052664732,H2,"v=12,J= 2->v=10,J= 0",6.635e-08,49531.6,,MEUDON
3.057610984,He I,1Po-1D      1 - 2,97700.0,283745.2,,CLOUDY
3.057793032,H2,"v= 4,J= 8->v= 3,J= 8",3.888e-07,26616.3,,MEUDON
3.060270466,H2,"v= 4,J=16->v= 2,J=18",3.681e-09,37306.5,,MEUDON
3.063317653,H2,"v=12,J= 8->v= 9,J=10",9.899e-08,51217.5,,MEUDON
3.063496,N I,2Do-2D    3/2 - 3/2,1148000.0,158908.4,,HII
3.064754,N I,4Po-4P    5/2 - 5/2,1100000.0,158696.8,,HII
3.06697,N I,4P-4Po   5/2 - 3/2,1676000.0,153943.2,,HII
3.069676216,H2,"v= 8,J=18->v= 6,J=18",2.374e-07,51517.6,,MEUDON
3.072801285,H2,"v=10,J= 5->v= 8,J= 7",3.751e-07,46037.2,,MEUDON
3.073441264,H2,"v=11,J=11->v= 8,J=13",4.764e-08,51237.8,,MEUDON
3.07495643,He I,3S-3Po     1 - 0,387.5,285148.3,Mult  3,CLOUDY
3.074956662,He I,3S-3Po     1 - 1,387.7,285148.3,Mult  3,CLOUDY
3.074956681,He I,3S-3Po     1 - 2,387.7,285148.3,Mult  3,CLOUDY
3.075672127,H2,"v= 2,J=19->v= 0,J=21",3.683e-12,34443.2,,MEUDON
3.077217784,H2,"v= 9,J=16->v= 6,J=18",5.418e-09,51506.1,,MEUDON
3.084978,OH,"v=1,J=13/2,p=-,F=F1->v=0,J=15/2,p=+,F=F1",14.73,6631.5,,OTHERS
3.085452,OH,"v=1,J=13/2,p=+,F=F1->v=0,J=15/2,p=-,F=F1",14.72,6632.3,,OTHERS
3.090329827,H2,"v= 5,J= 1->v= 4,J= 1",5.205e-07,26734.9,,MEUDON
3.090569,OH,"v=1,J=15/2,p=-,F=F2->v=0,J=17/2,p=+,F=F2",14.54,6556.4,,OTHERS
3.09073453,H2,"v= 6,J=13->v= 4,J=15",3.515e-08,40437.7,,MEUDON
3.091345,OH,"v=1,J=15/2,p=+,F=F2->v=0,J=17/2,p=-,F=F2",14.54,6559.6,,OTHERS
